Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],0.0,1.0,40,0.5,0.4,1.0,1.0,CC',0.0,0.0,1.0
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],79.6435158735356,0.9817423693431048,40,0.5,0.4,1.0,1.0,CC',573433.3142894563,0.007982037028215781,0.9897244063713205
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],137.4183773091852,0.9704549417317352,40,0.5,0.4,1.0,1.0,CC',989412.3166261334,0.01048481891736041,0.9809397606490956
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],203.0096396764306,0.9587426535236516,40,0.5,0.4,1.0,1.0,CC',1461669.4056703004,0.012743738652856265,0.9714863921765079
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],352.16048954098943,0.9263271237831976,40,0.5,0.4,1.0,1.0,CC',2535555.524695124,0.016784516707061832,0.9431116404902594
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],502.2759598703253,0.8987454625667822,40,0.5,0.4,1.0,1.0,CC',3616386.911066342,0.020045169011905006,0.9187906315786872
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],640.1475228815771,0.8767398123796614,40,0.5,0.4,1.0,1.0,CC',4609062.164747355,0.022629687717902077,0.8993695000975634
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],969.467513889189,0.8371205672848557,40,0.5,0.4,1.0,1.0,CC',6980166.10000216,0.027848714739971445,0.8649692820248271
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],1286.1742524437982,0.8231868149694531,40,0.5,0.4,1.0,1.0,CC',9260454.617595347,0.03207660763993939,0.8552634226093925
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],1639.569458891956,0.8203040070031363,40,0.5,0.4,1.0,1.0,CC',11804900.104022082,0.03621624639417702,0.8565202533973133
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],1932.2224989517103,0.8210725489143735,40,0.5,0.4,1.0,1.0,CC',13912001.992452314,0.039315797870669765,0.8603883467850433
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],2237.00120602503,0.8211074214589962,40,0.5,0.4,1.0,1.0,CC',16106408.683380216,0.04230304559055785,0.863410467049554
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],2554.4747214451336,0.8191908798594669,40,0.5,0.4,1.0,1.0,CC',18392217.99440496,0.04520529741610349,0.8643961772755704
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],2871.360790598705,0.816027958116431,40,0.5,0.4,1.0,1.0,CC',20673797.692310676,0.047927238807416644,0.8639551969238477
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],3187.7700463906845,0.8267531488881407,40,0.5,0.4,1.0,1.0,CC',22951944.334012926,0.05049891172687935,0.87725206061502
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],3506.673477025674,0.8180223734560848,40,0.5,0.4,1.0,1.0,CC',25248049.03458485,0.05296466021739014,0.8709870336734749
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],3824.6498115986255,0.8110723241137494,40,0.5,0.4,1.0,1.0,CC',27537478.643510103,0.05531391075965703,0.8663862348734065
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],4142.662941062462,0.8048782871215319,40,0.5,0.4,1.0,1.0,CC',29827173.175649725,0.05756762675451413,0.862445913876046
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],4508.067814601401,0.8046071352515027,40,0.5,0.4,1.0,1.0,CC',32458088.265130084,0.06005286706624076,0.8646600023177435
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],4824.817073431927,0.8008350641301899,40,0.5,0.4,1.0,1.0,CC',34738682.92870988,0.06212679537125305,0.862961859501443
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],5142.768080734062,0.7974065952596167,40,0.5,0.4,1.0,1.0,CC',37027930.18128525,0.06414118749658486,0.8615477827562015
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],5460.900476696144,0.793222749890388,40,0.5,0.4,1.0,1.0,CC',39318483.43221224,0.06609531201566997,0.859318061906058
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],5778.611142564847,0.7885421977689493,40,0.5,0.4,1.0,1.0,CC',41606000.2264669,0.06799081727262056,0.8565330150415699
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],6095.9770837067645,0.785014669554521,40,0.5,0.4,1.0,1.0,CC',43891035.002688706,0.06983291791684593,0.854847587471367
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],6411.93985695783,0.7810144178845865,40,0.5,0.4,1.0,1.0,CC',46165966.97009638,0.07161982347983042,0.8526342413644169
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],6730.162670726526,0.7777239757493123,40,0.5,0.4,1.0,1.0,CC',48457171.22923099,0.07337553941437015,0.8510995151636824
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],7048.411129054159,0.7738080115369897,40,0.5,0.4,1.0,1.0,CC',50748560.129189946,0.07509035203309178,0.8488983635700815
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],7336.464999514166,0.7710733991505768,40,0.5,0.4,1.0,1.0,CC',52822547.996502,0.07660938063760116,0.847682779788178
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],7562.56523301038,0.7722541370693893,40,0.5,0.4,1.0,1.0,CC',54450469.67767474,0.07778092312020117,0.8500350601895904
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],7893.415162448557,0.7669933220244588,40,0.5,0.4,1.0,1.0,CC',56832589.16962961,0.07946410549538363,0.8464574275198424
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],8488.391076177164,0.7589767031576059,40,0.5,0.4,1.0,1.0,CC',61116415.74847558,0.08240455459089273,0.8413812577484986
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],9106.831858397718,0.7518639838944413,40,0.5,0.4,1.0,1.0,CC',65569189.38046357,0.08535366722166751,0.8372176511161088
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],9581.927730385538,0.7472315888777502,40,0.5,0.4,1.0,1.0,CC',68989879.65877588,0.08755177831539028,0.8347833671931405
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],10068.22741524188,0.742163689202421,40,0.5,0.4,1.0,1.0,CC',72491237.38974154,0.08974598624752607,0.8319096754499471
['Testpoint Cyclization_40°C_50%SOC_40%DOD_1C_1C_CC'],10606.911861234938,0.7385115388139343,40,0.5,0.4,1.0,1.0,CC',76369765.40089156,0.09211556203861512,0.8306271008525494
