Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],0.0,1.0,25,0.5,1.0,1.0,1.0,CC',0.0,0.0,1.0
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],0.0,0.9999999999999996,25,0.5,1.0,1.0,1.0,CC',0.0,0.0,0.9999999999999996
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],315.20315434003624,0.9769542291619278,25,0.5,1.0,1.0,1.0,CC',2269462.711248261,0.011405338013943807,0.9883595671758716
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],632.8985349173652,0.9656751734745196,25,0.5,1.0,1.0,1.0,CC',4556869.45140503,0.01616143531940154,0.9818366087939211
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],949.577438939344,0.9566948710635872,25,0.5,1.0,1.0,1.0,CC',6836957.560363278,0.019796028805936908,0.9764908998695241
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],1268.1278426264032,0.9486715219659602,25,0.5,1.0,1.0,1.0,CC',9130520.466910105,0.022876754005389684,0.9715482759713499
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],1579.7949455835865,0.9379279104889252,25,0.5,1.0,1.0,1.0,CC',11374523.608201824,0.02553367012145386,0.9634615806103791
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],1862.287919884437,0.9294164014252154,25,0.5,1.0,1.0,1.0,CC',13408473.02316795,0.027722749219357294,0.9571391506445727
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],2084.216915273355,0.9224987090943276,25,0.5,1.0,1.0,1.0,CC',15006361.789968157,0.029328127888199284,0.9518268369825269
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],2408.882727374216,0.9136149283024214,25,0.5,1.0,1.0,1.0,CC',17343955.637094356,0.0315297634187919,0.9451446917212133
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],2992.569900453568,0.8972316906437703,25,0.5,1.0,1.0,1.0,CC',21546503.283265695,0.03514269270777022,0.9323743833515405
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],3599.8183571838117,0.8805171626912766,25,0.5,1.0,1.0,1.0,CC',25918692.171723448,0.038543679990140856,0.9190608426814174
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],4066.568285724505,0.866075209676434,25,0.5,1.0,1.0,1.0,CC',29279291.65721644,0.04096631668683197,0.907041526363266
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],4447.109023336823,0.8521612556913497,25,0.5,1.0,1.0,1.0,CC',32019184.96802513,0.04284022780521943,0.8950014834965692
['Testpoint Cyclization_25°C_50%SOC_100%DOD_1C_1C_CC'],4965.893720165512,0.8373451397978037,25,0.5,1.0,1.0,1.0,CC',35754434.785191685,0.04527011456441861,0.8826152543622223
