label,TempC,SOC,DOD,Crate_dis,Crate_chg,Crate_avg,q4,a_long
1,25.0,0.5,1.0,1.0,1.0,1.0,0.0550735445398702,0.0840010615583255
2,25.0,0.5,0.8,1.0,1.0,1.0,0.0580362807922857,0.092302783458465
3,40.0,0.25,0.2,1.0,1.0,1.0,0.037798481798148,0.0540079717535763
4,40.0,0.5,0.1,1.0,1.0,1.0,0.1841852610735125,0.1096429718760524
5,40.0,0.5,1.0,1.0,1.0,1.0,0.0603525202307773,0.1049338094343558
6,40.0,0.5,1.0,1.0,1.0,1.0,0.0610963594258362,0.1132000719310175
7,40.0,0.5,0.2,1.0,1.0,1.0,0.2074172877967794,0.1228658005226286
8,40.0,0.5,0.4,1.0,1.0,1.0,0.1557594059711102,0.1214735993762588
9,40.0,0.5,0.05,1.0,1.0,1.0,0.1159569938403642,0.0722864041305044
10,40.0,0.5,0.8,0.2,0.2,0.2,0.0444279253933472,0.0667439611459704
11,40.0,0.5,0.8,0.5,0.5,0.5,0.0594605914741046,0.078431092045567
12,40.0,0.5,1.0,0.5,0.5,0.5,0.0632078536818863,0.0900131721138236
13,40.0,0.5,0.8,1.0,0.5,0.75,0.0600130162000057,0.0859987917332612
14,40.0,0.5,0.8,1.0,1.0,1.0,0.0684145252776573,0.0991472089247969
15,40.0,0.5,1.0,1.0,2.0,1.5,0.0622320721172379,0.18826581549499
16,40.0,0.75,0.2,1.0,1.0,1.0,0.0946894474510113,0.0825417490330506
