Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.995,"TP_40°C,62.5%SOC",40.0,0.625,1.0,0.1170989522824124
160,2.977,"TP_40°C,62.5%SOC",40.0,0.625,0.9939899833055091,0.1170989522824124
277,2.969,"TP_40°C,62.5%SOC",40.0,0.625,0.9913188647746243,0.1170989522824124
409,2.961,"TP_40°C,62.5%SOC",40.0,0.625,0.9886477462437395,0.1170989522824124
708,2.947,"TP_40°C,62.5%SOC",40.0,0.625,0.9839732888146911,0.1170989522824124
1009,2.937,"TP_40°C,62.5%SOC",40.0,0.625,0.980634390651085,0.1170989522824124
1286,2.929,"TP_40°C,62.5%SOC",40.0,0.625,0.9779632721202003,0.1170989522824124
1945,2.914,"TP_40°C,62.5%SOC",40.0,0.625,0.9729549248747913,0.1170989522824124
2579,2.901,"TP_40°C,62.5%SOC",40.0,0.625,0.9686143572621034,0.1170989522824124
3287,2.889,"TP_40°C,62.5%SOC",40.0,0.625,0.9646076794657762,0.1170989522824124
3873,2.88,"TP_40°C,62.5%SOC",40.0,0.625,0.9616026711185308,0.1170989522824124
4483,2.871,"TP_40°C,62.5%SOC",40.0,0.625,0.9585976627712854,0.1170989522824124
5119,2.862,"TP_40°C,62.5%SOC",40.0,0.625,0.9555926544240401,0.1170989522824124
5753,2.854,"TP_40°C,62.5%SOC",40.0,0.625,0.9529215358931552,0.1170989522824124
6388,2.845,"TP_40°C,62.5%SOC",40.0,0.625,0.9499165275459098,0.1170989522824124
7027,2.838,"TP_40°C,62.5%SOC",40.0,0.625,0.9475792988313856,0.1170989522824124
7663,2.83,"TP_40°C,62.5%SOC",40.0,0.625,0.9449081803005008,0.1170989522824124
8300,2.824,"TP_40°C,62.5%SOC",40.0,0.625,0.9429048414023371,0.1170989522824124
9032,2.814,"TP_40°C,62.5%SOC",40.0,0.625,0.9395659432387312,0.1170989522824124
9666,2.808,"TP_40°C,62.5%SOC",40.0,0.625,0.9375626043405675,0.1170989522824124
10302,2.802,"TP_40°C,62.5%SOC",40.0,0.625,0.935559265442404,0.1170989522824124
10939,2.795,"TP_40°C,62.5%SOC",40.0,0.625,0.9332220367278797,0.1170989522824124
11575,2.789,"TP_40°C,62.5%SOC",40.0,0.625,0.9312186978297162,0.1170989522824124
12211,2.782,"TP_40°C,62.5%SOC",40.0,0.625,0.928881469115192,0.1170989522824124
12844,2.777,"TP_40°C,62.5%SOC",40.0,0.625,0.927212020033389,0.1170989522824124
13481,2.77,"TP_40°C,62.5%SOC",40.0,0.625,0.9248747913188647,0.1170989522824124
14119,2.764,"TP_40°C,62.5%SOC",40.0,0.625,0.922871452420701,0.1170989522824124
14695,2.759,"TP_40°C,62.5%SOC",40.0,0.625,0.9212020033388981,0.1170989522824124
15148,2.753,"TP_40°C,62.5%SOC",40.0,0.625,0.9191986644407346,0.1170989522824124
15811,2.748,"TP_40°C,62.5%SOC",40.0,0.625,0.9175292153589316,0.1170989522824124
17001,2.738,"TP_40°C,62.5%SOC",40.0,0.625,0.9141903171953255,0.1170989522824124
18239,2.729,"TP_40°C,62.5%SOC",40.0,0.625,0.9111853088480801,0.1170989522824124
19190,2.721,"TP_40°C,62.5%SOC",40.0,0.625,0.9085141903171953,0.1170989522824124
20163,2.714,"TP_40°C,62.5%SOC",40.0,0.625,0.906176961602671,0.1170989522824124
21241,2.704,"TP_40°C,62.5%SOC",40.0,0.625,0.9028380634390651,0.1170989522824124
