Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.991,"TP_60°C,50%SOC",60.0,0.5,1.0,0.12330367674277432
160,2.947,"TP_60°C,50%SOC",60.0,0.5,0.9852892009361417,0.12330367674277432
277,2.923,"TP_60°C,50%SOC",60.0,0.5,0.9772651287194918,0.12330367674277432
409,2.905,"TP_60°C,50%SOC",60.0,0.5,0.9712470745570042,0.12330367674277432
708,2.873,"TP_60°C,50%SOC",60.0,0.5,0.9605483116014711,0.12330367674277432
1009,2.851,"TP_60°C,50%SOC",60.0,0.5,0.9531929120695419,0.12330367674277432
1286,2.832,"TP_60°C,50%SOC",60.0,0.5,0.946840521564694,0.12330367674277432
1945,2.799,"TP_60°C,50%SOC",60.0,0.5,0.9358074222668004,0.12330367674277432
2579,2.773,"TP_60°C,50%SOC",60.0,0.5,0.9271146773654296,0.12330367674277432
3287,2.753,"TP_60°C,50%SOC",60.0,0.5,0.9204279505182213,0.12330367674277432
3873,2.736,"TP_60°C,50%SOC",60.0,0.5,0.9147442326980944,0.12330367674277432
4483,2.723,"TP_60°C,50%SOC",60.0,0.5,0.9103978602474088,0.12330367674277432
5119,2.705,"TP_60°C,50%SOC",60.0,0.5,0.9043798060849214,0.12330367674277432
5753,2.684,"TP_60°C,50%SOC",60.0,0.5,0.8973587428953528,0.12330367674277432
6388,2.663,"TP_60°C,50%SOC",60.0,0.5,0.8903376797057839,0.12330367674277432
7027,2.643,"TP_60°C,50%SOC",60.0,0.5,0.8836509528585756,0.12330367674277432
7663,2.625,"TP_60°C,50%SOC",60.0,0.5,0.8776328986960882,0.12330367674277432
8300,2.611,"TP_60°C,50%SOC",60.0,0.5,0.8729521899030425,0.12330367674277432
9032,2.592,"TP_60°C,50%SOC",60.0,0.5,0.8665997993981945,0.12330367674277432
9666,2.578,"TP_60°C,50%SOC",60.0,0.5,0.8619190906051487,0.12330367674277432
10302,2.566,"TP_60°C,50%SOC",60.0,0.5,0.8579070544968237,0.12330367674277432
10939,2.555,"TP_60°C,50%SOC",60.0,0.5,0.8542293547308593,0.12330367674277432
11575,2.542,"TP_60°C,50%SOC",60.0,0.5,0.8498829822801738,0.12330367674277432
12211,2.532,"TP_60°C,50%SOC",60.0,0.5,0.8465396188565697,0.12330367674277432
12844,2.521,"TP_60°C,50%SOC",60.0,0.5,0.842861919090605,0.12330367674277432
13481,2.51,"TP_60°C,50%SOC",60.0,0.5,0.8391842193246405,0.12330367674277432
14119,2.499,"TP_60°C,50%SOC",60.0,0.5,0.835506519558676,0.12330367674277432
14695,2.488,"TP_60°C,50%SOC",60.0,0.5,0.8318288197927114,0.12330367674277432
15148,2.479,"TP_60°C,50%SOC",60.0,0.5,0.8288197927114678,0.12330367674277432
15811,2.466,"TP_60°C,50%SOC",60.0,0.5,0.8244734202607824,0.12330367674277432
17001,2.452,"TP_60°C,50%SOC",60.0,0.5,0.8197927114677365,0.12330367674277432
18239,2.435,"TP_60°C,50%SOC",60.0,0.5,0.8141089936476095,0.12330367674277432
19190,2.421,"TP_60°C,50%SOC",60.0,0.5,0.8094282848545636,0.12330367674277432
20163,2.408,"TP_60°C,50%SOC",60.0,0.5,0.8050819124038783,0.12330367674277432
21241,2.391,"TP_60°C,50%SOC",60.0,0.5,0.7993981945837513,0.12330367674277432
