Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.994,"TP_40°C,100%SOC",40.0,1.0,1.0,0.08638231318759382
160,2.951,"TP_40°C,100%SOC",40.0,1.0,0.9856379425517702,0.08638231318759382
277,2.936,"TP_40°C,100%SOC",40.0,1.0,0.98062792251169,0.08638231318759382
409,2.922,"TP_40°C,100%SOC",40.0,1.0,0.9759519038076152,0.08638231318759382
708,2.903,"TP_40°C,100%SOC",40.0,1.0,0.9696058784235136,0.08638231318759382
1009,2.887,"TP_40°C,100%SOC",40.0,1.0,0.9642618570474282,0.08638231318759382
1286,2.874,"TP_40°C,100%SOC",40.0,1.0,0.9599198396793587,0.08638231318759382
1945,2.854,"TP_40°C,100%SOC",40.0,1.0,0.9532398129592518,0.08638231318759382
2579,2.836,"TP_40°C,100%SOC",40.0,1.0,0.9472277889111556,0.08638231318759382
3287,2.82,"TP_40°C,100%SOC",40.0,1.0,0.94188376753507,0.08638231318759382
3873,2.809,"TP_40°C,100%SOC",40.0,1.0,0.9382097528390113,0.08638231318759382
4483,2.797,"TP_40°C,100%SOC",40.0,1.0,0.9342017368069472,0.08638231318759382
5119,2.786,"TP_40°C,100%SOC",40.0,1.0,0.9305277221108884,0.08638231318759382
5753,2.775,"TP_40°C,100%SOC",40.0,1.0,0.9268537074148295,0.08638231318759382
6388,2.766,"TP_40°C,100%SOC",40.0,1.0,0.9238476953907815,0.08638231318759382
7027,2.756,"TP_40°C,100%SOC",40.0,1.0,0.920507682030728,0.08638231318759382
7663,2.748,"TP_40°C,100%SOC",40.0,1.0,0.9178356713426854,0.08638231318759382
8300,2.74,"TP_40°C,100%SOC",40.0,1.0,0.9151636606546426,0.08638231318759382
9032,2.731,"TP_40°C,100%SOC",40.0,1.0,0.9121576486305945,0.08638231318759382
9666,2.722,"TP_40°C,100%SOC",40.0,1.0,0.9091516366065463,0.08638231318759382
10302,2.715,"TP_40°C,100%SOC",40.0,1.0,0.9068136272545089,0.08638231318759382
10939,2.709,"TP_40°C,100%SOC",40.0,1.0,0.9048096192384769,0.08638231318759382
11575,2.702,"TP_40°C,100%SOC",40.0,1.0,0.9024716098864395,0.08638231318759382
12211,2.695,"TP_40°C,100%SOC",40.0,1.0,0.9001336005344021,0.08638231318759382
12844,2.687,"TP_40°C,100%SOC",40.0,1.0,0.8974615898463593,0.08638231318759382
13481,2.681,"TP_40°C,100%SOC",40.0,1.0,0.8954575818303273,0.08638231318759382
14119,2.675,"TP_40°C,100%SOC",40.0,1.0,0.8934535738142951,0.08638231318759382
14695,2.669,"TP_40°C,100%SOC",40.0,1.0,0.8914495657982632,0.08638231318759382
15148,2.665,"TP_40°C,100%SOC",40.0,1.0,0.8901135604542417,0.08638231318759382
15811,2.658,"TP_40°C,100%SOC",40.0,1.0,0.8877755511022043,0.08638231318759382
17001,2.618,"TP_40°C,100%SOC",40.0,1.0,0.8744154976619906,0.08638231318759382
18239,2.608,"TP_40°C,100%SOC",40.0,1.0,0.8710754843019372,0.08638231318759382
19190,2.6,"TP_40°C,100%SOC",40.0,1.0,0.8684034736138945,0.08638231318759382
20163,2.593,"TP_40°C,100%SOC",40.0,1.0,0.8660654642618569,0.08638231318759382
21241,2.586,"TP_40°C,100%SOC",40.0,1.0,0.8637274549098195,0.08638231318759382
