Time,DischargeCapacity,Type,TemperatureDeg,SOC,capacityPercent,Ua
0,2.993,"TP_40°C,37.5%SOC",40.0,0.375,1.0,0.13333923393376645
160,2.98,"TP_40°C,37.5%SOC",40.0,0.375,0.9956565319077849,0.13333923393376645
277,2.971,"TP_40°C,37.5%SOC",40.0,0.375,0.9926495155362514,0.13333923393376645
409,2.963,"TP_40°C,37.5%SOC",40.0,0.375,0.9899766120948882,0.13333923393376645
708,2.952,"TP_40°C,37.5%SOC",40.0,0.375,0.9863013698630138,0.13333923393376645
1009,2.942,"TP_40°C,37.5%SOC",40.0,0.375,0.9829602405613098,0.13333923393376645
1286,2.934,"TP_40°C,37.5%SOC",40.0,0.375,0.9802873371199466,0.13333923393376645
1945,2.92,"TP_40°C,37.5%SOC",40.0,0.375,0.975609756097561,0.13333923393376645
2579,2.908,"TP_40°C,37.5%SOC",40.0,0.375,0.9716004009355163,0.13333923393376645
3287,2.896,"TP_40°C,37.5%SOC",40.0,0.375,0.9675910457734714,0.13333923393376645
3873,2.887,"TP_40°C,37.5%SOC",40.0,0.375,0.9645840294019379,0.13333923393376645
4483,2.878,"TP_40°C,37.5%SOC",40.0,0.375,0.9615770130304043,0.13333923393376645
5119,2.87,"TP_40°C,37.5%SOC",40.0,0.375,0.9589041095890412,0.13333923393376645
5753,2.861,"TP_40°C,37.5%SOC",40.0,0.375,0.9558970932175076,0.13333923393376645
6388,2.854,"TP_40°C,37.5%SOC",40.0,0.375,0.9535583027063148,0.13333923393376645
7027,2.845,"TP_40°C,37.5%SOC",40.0,0.375,0.9505512863347813,0.13333923393376645
7663,2.838,"TP_40°C,37.5%SOC",40.0,0.375,0.9482124958235885,0.13333923393376645
8300,2.833,"TP_40°C,37.5%SOC",40.0,0.375,0.9465419311727364,0.13333923393376645
9032,2.822,"TP_40°C,37.5%SOC",40.0,0.375,0.9428666889408621,0.13333923393376645
9666,2.816,"TP_40°C,37.5%SOC",40.0,0.375,0.9408620113598396,0.13333923393376645
10302,2.81,"TP_40°C,37.5%SOC",40.0,0.375,0.9388573337788173,0.13333923393376645
10939,2.804,"TP_40°C,37.5%SOC",40.0,0.375,0.9368526561977948,0.13333923393376645
11575,2.798,"TP_40°C,37.5%SOC",40.0,0.375,0.9348479786167725,0.13333923393376645
12211,2.792,"TP_40°C,37.5%SOC",40.0,0.375,0.9328433010357501,0.13333923393376645
12844,2.784,"TP_40°C,37.5%SOC",40.0,0.375,0.9301703975943869,0.13333923393376645
13481,2.779,"TP_40°C,37.5%SOC",40.0,0.375,0.9284998329435349,0.13333923393376645
14119,2.773,"TP_40°C,37.5%SOC",40.0,0.375,0.9264951553625126,0.13333923393376645
14695,2.767,"TP_40°C,37.5%SOC",40.0,0.375,0.9244904777814902,0.13333923393376645
15148,2.765,"TP_40°C,37.5%SOC",40.0,0.375,0.9238222519211494,0.13333923393376645
15811,2.758,"TP_40°C,37.5%SOC",40.0,0.375,0.9214834614099566,0.13333923393376645
17001,2.748,"TP_40°C,37.5%SOC",40.0,0.375,0.9181423321082527,0.13333923393376645
18239,2.739,"TP_40°C,37.5%SOC",40.0,0.375,0.915135315736719,0.13333923393376645
19190,2.732,"TP_40°C,37.5%SOC",40.0,0.375,0.9127965252255263,0.13333923393376645
20163,2.724,"TP_40°C,37.5%SOC",40.0,0.375,0.9101236217841632,0.13333923393376645
21241,2.715,"TP_40°C,37.5%SOC",40.0,0.375,0.9071166054126295,0.13333923393376645
