Legend,X,Y,Temperature,SOC,DoD,C_chg,C_dis,method,t,Q_loss_calendar,y_pure_cycle
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],0.0,1.0,40,0.5,1.0,1.0,1.0,CC+CV',0.0,0.0,1.0
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],78.95250847062867,0.9868364569845386,40,0.5,1.0,1.0,1.0,CC+CV',568458.0609885264,0.007947334500407074,0.9947837914849457
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],136.4222817541376,0.9805093823757912,40,0.5,1.0,1.0,1.0,CC+CV',982240.4286297907,0.01044674949535409,0.9909561318711453
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],201.6017516333337,0.9753494992501132,40,0.5,1.0,1.0,1.0,CC+CV',1451532.6117600026,0.012699472349748836,0.988048971599862
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],349.3694484210796,0.9667096892568696,40,0.5,1.0,1.0,1.0,CC+CV',2515460.028631773,0.01671787171540674,0.9834275609722763
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],498.1017744250385,0.9595305756023776,40,0.5,1.0,1.0,1.0,CC+CV',3586332.775860277,0.01996170212715745,0.9794922777295351
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],634.7315485145912,0.953992073736256,40,0.5,1.0,1.0,1.0,CC+CV',4570067.149305056,0.022533755030102777,0.9765258287663588
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],960.5211468910388,0.9423105007837872,40,0.5,1.0,1.0,1.0,CC+CV',6915752.257615479,0.027719921216069376,0.9700304219998566
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],1273.7346488583453,0.9320721179784568,40,0.5,1.0,1.0,1.0,CC+CV',9170889.471780084,0.03192111168495071,0.9639932296634075
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],1623.086693817496,0.9213547901845256,40,0.5,1.0,1.0,1.0,CC+CV',11686224.19548597,0.036033743679237715,0.9573885338637633
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],1912.390834579636,0.9124523510688568,40,0.5,1.0,1.0,1.0,CC+CV',13769214.008973377,0.03911351560799792,0.9515658666768547
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],2213.5639119379894,0.9035513230248476,40,0.5,1.0,1.0,1.0,CC+CV',15937660.16595352,0.04208085537844945,0.945632178403297
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],2527.2055875300384,0.8942892263260336,40,0.5,1.0,1.0,1.0,CC+CV',18195880.230216272,0.04496336572208703,0.9392525920481206
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],2840.3669856694146,0.8847450700180723,40,0.5,1.0,1.0,1.0,CC+CV',20450642.29681978,0.04766787087982042,0.9324129408978927
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],3153.955541732096,0.8752174957975428,40,0.5,1.0,1.0,1.0,CC+CV',22708479.900471088,0.05023036220786718,0.92544785800541
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],3469.4350265494386,0.8659681413002575,40,0.5,1.0,1.0,1.0,CC+CV',24979932.19115595,0.05268268556938293,0.9186508268696404
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],3784.131647893923,0.8571182261081637,40,0.5,1.0,1.0,1.0,CC+CV',27245747.86483624,0.055020134114209036,0.9121383602223727
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],4098.907503020192,0.8483415504660489,40,0.5,1.0,1.0,1.0,CC+CV',29512134.021745376,0.05726280068444296,0.9056043511504919
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],4460.603203550846,0.8381177591883641,40,0.5,1.0,1.0,1.0,CC+CV',32116343.065566085,0.059735887747003134,0.8978536469353672
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],4774.24437025171,0.8299932619031175,40,0.5,1.0,1.0,1.0,CC+CV',34374559.46581231,0.06180033774582393,0.8917935996489414
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],5089.140368469115,0.8216938084034181,40,0.5,1.0,1.0,1.0,CC+CV',36641810.65297762,0.06380588563282381,0.885499694036242
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],5404.2623370890215,0.8134779625208991,40,0.5,1.0,1.0,1.0,CC+CV',38910688.82704095,0.06575166239889396,0.8792296249197931
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],5719.049364530812,0.8050415606852076,40,0.5,1.0,1.0,1.0,CC+CV',41177155.42462184,0.06763950938678552,0.8726810700719931
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],6033.467043934923,0.7966041525797386,40,0.5,1.0,1.0,1.0,CC+CV',43440962.71633144,0.06947395110630944,0.8660781036860481
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],6346.866100392363,0.7884055006761348,40,0.5,1.0,1.0,1.0,CC+CV',45697435.922825,0.0712554675829931,0.8596609682591279
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],6662.097020039373,0.7800989616268166,40,0.5,1.0,1.0,1.0,CC+CV',47967098.54428348,0.07300355392394224,0.8531025155507588
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],6977.32965505889,0.7717231118962705,40,0.5,1.0,1.0,1.0,CC+CV',50236773.516424,0.07471075881583615,0.8464338707121066
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],7262.6399215389665,0.7641112433388771,40,0.5,1.0,1.0,1.0,CC+CV',52291007.43508055,0.07622295519229202,0.8403341985311692
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],7486.600530742639,0.7571057775368936,40,0.5,1.0,1.0,1.0,CC+CV',53903523.821347,0.07738928898461594,0.8344950665215095
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],7814.167377943116,0.7488074909166244,40,0.5,1.0,1.0,1.0,CC+CV',56262005.12119043,0.07906420000687713,0.8278716909235014
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],8402.933249202371,0.7343038735970066,40,0.5,1.0,1.0,1.0,CC+CV',60501119.39425707,0.08198869673225598,0.8162925703292625
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],9014.759572010127,0.7193312908068945,40,0.5,1.0,1.0,1.0,CC+CV',64906268.91847291,0.08492109792497292,0.8042523887318674
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],9484.854414715384,0.7078042041535739,40,0.5,1.0,1.0,1.0,CC+CV',68290951.78595077,0.08710716128144078,0.7949113654350147
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],9965.782839392556,0.6959723742066949,40,0.5,1.0,1.0,1.0,CC+CV',71753636.4436264,0.08928823454238884,0.7852606087490838
['Testpoint Cyclization_40°C_50%SOC_100%DOD_1C_1C_CC+CV'],10498.416392698917,0.6828973776554429,40,0.5,1.0,1.0,1.0,CC+CV',75588598.0274322,0.09164323750208797,0.7745406151575309
